Size	Density	Value
90	0.95	160839
90	1.0	477193
95	0.0	0
95	0.05	0
95	0.1	0
95	0.15	0
95	0.2	0
95	0.25	0
95	0.3	0
95	0.35	0
95	0.4	0
95	0.45	0
95	0.5	5341
95	0.55	5341
95	0.6	5341
95	0.65	13173
95	0.7	13173
95	0.75	14204
95	0.8	14214
95	0.85	14354
95	0.9	14788
95	0.95	160839
95	1.0	477196
100	0.0	0
100	0.05	0
100	0.1	0
100	0.15	0
100	0.2	0
100	0.25	0
100	0.3	0
100	0.35	0
100	0.4	0
100	0.45	0
100	0.5	5341
100	0.55	5341
100	0.6	5341
100	0.65	13173
100	0.7	13173
100	0.75	14204
100	0.8	14214
100	0.85	14354
100	0.9	14788
100	0.95	160839
100	1.0	477196
105	0.0	0
105	0.05	0
105	0.1	0
105	0.15	0
105	0.2	0
105	0.25	0
105	0.3	0
105	0.35	0
105	0.4	0
105	0.45	0
105	0.5	5341
105	0.55	5341
105	0.6	5341
105	0.65	13173
105	0.7	13173
105	0.75	14204
105	0.8	14214
105	0.85	14354
105	0.9	14788
105	0.95	160839
105	1.0	477196
110	0.0	0
110	0.05	0
110	0.1	0
110	0.15	0
110	0.2	0
110	0.25	0
110	0.3	0
110	0.35	0
110	0.4	0
110	0.45	0
110	0.5	5341
110	0.55	5341
110	0.6	5341
110	0.65	13173
110	0.7	13173
110	0.75	14204
110	0.8	14214
110	0.85	14354
110	0.9	14789
110	0.95	160841
110	1.0	477200
115	0.0	0
115	0.05	0
115	0.1	0
115	0.15	0
115	0.2	0
115	0.25	0
115	0.3	0
115	0.35	0
115	0.4	0
115	0.45	0
115	0.5	5341
115	0.55	5341
115	0.6	5341
115	0.65	13173
115	0.7	13173
115	0.75	14204
115	0.8	14214
115	0.85	14354
115	0.9	14789
115	0.95	160841
115	1.0	477203
120	0.0	0
120	0.05	0
120	0.1	0
120	0.15	0
120	0.2	0
120	0.25	0
120	0.3	0
120	0.35	0
120	0.4	0
120	0.45	0
120	0.5	5341
120	0.55	5341
120	0.6	5341
120	0.65	13173
120	0.7	13173
120	0.75	14204
120	0.8	14214
120	0.85	14354
120	0.9	14789
120	0.95	160841
120	1.0	477206
125	0.0	0
125	0.05	0
125	0.1	0
125	0.15	0
125	0.2	0
125	0.25	0
125	0.3	0
125	0.35	0
125	0.4	0
125	0.45	0
125	0.5	5341
125	0.55	5341
125	0.6	5341
125	0.65	13173
125	0.7	13173
125	0.75	14204
125	0.8	14214
125	0.85	14354
125	0.9	14789
125	0.95	160841
125	1.0	477206
130	0.0	0
130	0.05	0
130	0.1	0
130	0.15	0
130	0.2	0
130	0.25	0
130	0.3	0
130	0.35	0
130	0.4	0
130	0.45	0
130	0.5	5341
130	0.55	5341
130	0.6	5341
130	0.65	13173
130	0.7	13173
130	0.75	14204
130	0.8	14214
130	0.85	14354
130	0.9	14789
130	0.95	160841
130	1.0	477206
135	0.0	0
135	0.05	0
135	0.1	0
135	0.15	0
135	0.2	0
135	0.25	0
135	0.3	0
135	0.35	0
135	0.4	0
135	0.45	0
135	0.5	5341
135	0.55	5341
135	0.6	5341
135	0.65	13173
135	0.7	13173
135	0.75	14204
135	0.8	14214
135	0.85	14354
135	0.9	14789
135	0.95	160841
135	1.0	477208
